epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3829,0.68418,1.73026,1.29587,0.55881,0.53213,0.56518,0.3755,0.96406,1.5458,1.28118,0.000472042,0.000472042,0.000472042
2,36.284,0.5827,1.04446,1.1998,0.72289,0.67661,0.75423,0.49875,0.88146,1.27532,1.13315,0.00091082,0.00091082,0.00091082
3,52.6956,0.59525,0.93402,1.19453,0.76545,0.72832,0.79099,0.53384,0.83834,1.05825,1.09669,0.00131187,0.00131187,0.00131187
4,68.7928,0.55923,0.8073,1.16786,0.65537,0.67428,0.6857,0.50087,0.93913,0.93969,1.20047,0.00125923,0.00125923,0.00125923
5,84.5818,0.54583,0.76484,1.1591,0.82427,0.74514,0.84967,0.64006,0.70184,0.84159,0.94831,0.00120265,0.00120265,0.00120265
6,100.448,0.51159,0.67917,1.13135,0.85416,0.81058,0.85914,0.62331,0.76173,0.86862,0.97006,0.00114606,0.00114606,0.00114606
7,116.255,0.49624,0.64282,1.13105,0.80151,0.85122,0.87897,0.67512,0.71447,0.64205,1.00368,0.00108947,0.00108947,0.00108947
8,132.18,0.47073,0.5947,1.10977,0.8476,0.81221,0.86653,0.63498,0.67935,0.72273,0.90095,0.00103288,0.00103288,0.00103288
9,148.153,0.46754,0.57518,1.10254,0.86195,0.85435,0.90945,0.72232,0.60142,0.5806,0.84793,0.000976293,0.000976293,0.000976293
10,164.085,0.4472,0.55098,1.09715,0.90172,0.83464,0.91289,0.68785,0.67231,0.66991,0.89292,0.000919704,0.000919704,0.000919704
11,180.128,0.43364,0.52566,1.08924,0.88332,0.87296,0.93113,0.73945,0.57532,0.58563,0.80894,0.000863116,0.000863116,0.000863116
12,195.958,0.42214,0.50948,1.07722,0.91273,0.8807,0.93724,0.72363,0.67072,0.61081,0.87,0.000806528,0.000806528,0.000806528
13,212.019,0.40978,0.48865,1.07227,0.876,0.8727,0.93262,0.77469,0.56139,0.55153,0.79111,0.000749939,0.000749939,0.000749939
14,228.041,0.40265,0.47168,1.06809,0.87934,0.87398,0.91773,0.74731,0.56102,0.57578,0.79328,0.000693351,0.000693351,0.000693351
15,244.07,0.3833,0.441,1.04695,0.91904,0.91163,0.95249,0.79028,0.49132,0.53965,0.74224,0.000636762,0.000636762,0.000636762
16,303.361,0.43136,0.52089,1.13745,0.88727,0.84227,0.92541,0.78273,0.52403,0.57031,0.75261,0.000580174,0.000580174,0.000580174
17,319.542,0.41477,0.42296,1.11521,0.95886,0.8652,0.95161,0.75787,0.57835,0.52043,0.80489,0.000523586,0.000523586,0.000523586
18,335.508,0.39449,0.40023,1.10492,0.89593,0.94605,0.96231,0.79549,0.51081,0.48748,0.7395,0.000466997,0.000466997,0.000466997
19,351.466,0.38561,0.37744,1.10172,0.90436,0.93647,0.95426,0.79386,0.49957,0.45391,0.73466,0.000410409,0.000410409,0.000410409
20,367.191,0.37057,0.35725,1.07863,0.90949,0.93053,0.95052,0.80281,0.48978,0.47767,0.72774,0.00035382,0.00035382,0.00035382
21,383.435,0.35201,0.34215,1.05647,0.93141,0.93146,0.96796,0.82724,0.45876,0.43101,0.69884,0.000297232,0.000297232,0.000297232
22,399.388,0.33513,0.3164,1.0552,0.92011,0.93848,0.96526,0.82832,0.44519,0.44752,0.67368,0.000240644,0.000240644,0.000240644
23,415.355,0.32832,0.30966,1.03807,0.92433,0.9533,0.97162,0.84271,0.42444,0.42296,0.66294,0.000184055,0.000184055,0.000184055
24,431.307,0.30832,0.29792,1.01749,0.92346,0.94563,0.97305,0.84407,0.41605,0.45584,0.65649,0.000127467,0.000127467,0.000127467
25,447.381,0.29734,0.28371,1.01711,0.9415,0.93574,0.97563,0.84985,0.38818,0.41763,0.63139,7.08784e-05,7.08784e-05,7.08784e-05
