epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6784,0.66866,1.75194,1.28534,0.70554,0.61094,0.68029,0.482,0.87211,1.43695,1.12442,0.000471709,0.000471709,0.000471709
2,34.639,0.5626,1.0632,1.18488,0.58319,0.72872,0.61456,0.36673,0.98016,1.32151,1.21663,0.0009105,0.0009105,0.0009105
3,50.2211,0.55639,0.89729,1.17103,0.8649,0.74046,0.8272,0.57781,0.7876,0.88214,1.0848,0.00131156,0.00131156,0.00131156
4,65.4204,0.55042,0.79239,1.16409,0.67016,0.65341,0.72353,0.50036,0.8623,0.85162,1.14003,0.00125923,0.00125923,0.00125923
5,80.3745,0.5211,0.74892,1.14614,0.72627,0.73962,0.78445,0.52251,0.89156,0.88983,1.1108,0.00120265,0.00120265,0.00120265
6,95.5907,0.49308,0.68852,1.12997,0.76765,0.70809,0.77639,0.57321,0.75785,0.80432,1.0158,0.00114606,0.00114606,0.00114606
7,111.176,0.47427,0.61707,1.11075,0.84669,0.85015,0.88883,0.67967,0.7069,0.68231,0.93408,0.00108947,0.00108947,0.00108947
8,126.309,0.44728,0.58214,1.09396,0.78874,0.86389,0.87422,0.65131,0.68299,0.7311,0.93488,0.00103288,0.00103288,0.00103288
9,141.456,0.45034,0.57033,1.10078,0.93448,0.85044,0.94267,0.72643,0.65598,0.52405,0.88013,0.000976293,0.000976293,0.000976293
10,156.818,0.43523,0.54359,1.08814,0.88953,0.88397,0.90899,0.71743,0.71658,0.79421,0.89657,0.000919704,0.000919704,0.000919704
11,171.917,0.40698,0.5061,1.0652,0.88566,0.8943,0.92765,0.74365,0.61606,0.54047,0.86509,0.000863116,0.000863116,0.000863116
12,187,0.41732,0.49904,1.07509,0.88326,0.92436,0.95592,0.77195,0.5657,0.52012,0.79221,0.000806528,0.000806528,0.000806528
13,202.009,0.38609,0.46389,1.05132,0.89295,0.84456,0.93282,0.76246,0.52887,0.52655,0.75094,0.000749939,0.000749939,0.000749939
14,217.218,0.37833,0.46214,1.04856,0.93731,0.82909,0.93569,0.76454,0.55216,0.5255,0.77207,0.000693351,0.000693351,0.000693351
15,232.504,0.36827,0.4356,1.04605,0.87918,0.91548,0.93847,0.75802,0.59343,0.59227,0.8153,0.000636762,0.000636762,0.000636762
16,290.036,0.41934,0.52524,1.12837,0.92099,0.90926,0.95147,0.77296,0.59058,0.55411,0.8023,0.000580174,0.000580174,0.000580174
17,305.422,0.40448,0.42119,1.11396,0.89186,0.89694,0.93571,0.76586,0.55161,0.52502,0.78292,0.000523586,0.000523586,0.000523586
18,320.803,0.38243,0.39314,1.09198,0.91358,0.9158,0.96139,0.8151,0.53482,0.478,0.78013,0.000466997,0.000466997,0.000466997
19,336.006,0.36479,0.37978,1.07108,0.93025,0.91345,0.95526,0.79835,0.49541,0.45119,0.72714,0.000410409,0.000410409,0.000410409
20,351.323,0.35882,0.35112,1.06581,0.92575,0.91756,0.96149,0.81337,0.49555,0.43352,0.72791,0.00035382,0.00035382,0.00035382
21,366.446,0.34232,0.34293,1.05812,0.92487,0.94518,0.97058,0.82064,0.49138,0.42941,0.7354,0.000297232,0.000297232,0.000297232
22,382.06,0.33453,0.33141,1.04829,0.94285,0.92633,0.96787,0.82863,0.464,0.41408,0.70182,0.000240644,0.000240644,0.000240644
23,397.333,0.31454,0.31213,1.03434,0.93239,0.92228,0.97117,0.83475,0.45576,0.39769,0.69483,0.000184055,0.000184055,0.000184055
24,412.714,0.30444,0.31307,1.03222,0.91902,0.95802,0.97364,0.83195,0.46193,0.42904,0.71315,0.000127467,0.000127467,0.000127467
25,427.707,0.28182,0.29248,1.00431,0.92223,0.94786,0.97436,0.84796,0.44653,0.42013,0.69159,7.08784e-05,7.08784e-05,7.08784e-05
